ID,companyName,contactName,contactTitle,address,city,region,postalCode,country,phone,fax
adc3ccf1-2226-4d0d-8c25-de7e03021f93,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin,,12209,Germany,030-0074321,030-0076545
15543317-7ea8-4b1d-a1c6-398c31306bee,Ana Trujillo Emparedados,Ana Trujillo,Owner,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,(5) 555-4729,(5) 555-3745
605ad02a-ec38-491b-94dd-9f12dd387c37,Antonio Moreno Taquería,Antonio Moreno,Owner,Mataderos 2312,México D.F.,,05023,Mexico,(5) 555-3932,
3a11ba05-5e38-400d-9705-1fbd517ad3ea,Around the Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London,,WA1 1DP,UK,(171) 555-7788,(171) 555-6750
d1becb70-3ef5-41f5-af82-6d16554e5ef9,Berglunds snabbköp,Christina Berglund,Order Administrator,Berguvsvägen 8,Luleå,,S-958 22,Sweden,0921-12 34 65,0921-12 34 67
2eec1e01-29f2-4592-a5c4-9d50ae170ff7,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,,68306,Germany,0621-08460,0621-08924
faef8ecd-992a-4405-b4af-47dac3a80d0a,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,24 place Kléber,Strasbourg,,67000,France,88.60.15.31,88.60.15.32
2ce77926-b33b-4bc0-b32a-a8f22003a82b,Bólido Comidas preparadas,Martín Sommer,Owner,C/ Araquil 67,Madrid,,28023,Spain,(91) 555 22 82,(91) 555 91 99
15adcd3f-075a-4f94-971f-368558d3ddd9,Bon app',Laurence Lebihan,Owner,12 rue des Bouchers,Marseille,,13008,France,91.24.45.40,91.24.45.41
1a2a9549-7753-408d-8af9-eaf9fb7fbbf1,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745
